2225.0,'2404247020': -5, '2404247023': -4,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 4,
2250.0,'2404247020': -4, '2404247023': -3,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 3,
2275.0,'2404247020': 1, '2404247023': -4,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 5,
2300.0,'2404247020': -2, '2404247023': -3,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 3,
2325.0,'2404247020': -1, '2404247023': 1,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 2,
2350.0,'2404247020': -2, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 2, '2404247023': 0,
2375.0,'2404247020': -2, '2404247023': -1,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
2400.0,'2404247020': -2, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
2425.0,'2404247020': -2, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
2450.0,'2404247020': -4, '2404247023': 1,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 2,
2475.0,'2404247020': 0, '2404247023': -1,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
2500.0,'2404247020': -3, '2404247023': -3,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 3,
2525.0,'2404247020': -6, '2404247023': -6,'2404247020': 3, '2404247023': 2,'2404247020': 6, '2404247023': 6,
2550.0,'2404247020': 1, '2404247023': -6,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
2575.0,'2404247020': 1, '2404247023': -5,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
2600.0,'2404247020': -4, '2404247023': -3,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
2625.0,'2404247020': 0, '2404247023': -5,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 6,
2650.0,'2404247020': -3, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
2675.0,'2404247020': -2, '2404247023': -5,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
2700.0,'2404247020': -2, '2404247023': -3,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 3,
2725.0,'2404247020': -2, '2404247023': -5,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 6,
2750.0,'2404247020': -5, '2404247023': 0,'2404247020': 2, '2404247023': 1,'2404247020': 6, '2404247023': 2,
2775.0,'2404247020': -7, '2404247023': 2,'2404247020': 2, '2404247023': 0,'2404247020': 7, '2404247023': 0,
2800.0,'2404247020': -1, '2404247023': -5,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 6,
2825.0,'2404247020': -1, '2404247023': -3,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 6,
2850.0,'2404247020': -5, '2404247023': -5,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 5,
2875.0,'2404247020': 4, '2404247023': -7,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 7,
2900.0,'2404247020': -2, '2404247023': -5,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 5,
2925.0,'2404247020': -7, '2404247023': -1,'2404247020': 3, '2404247023': 1,'2404247020': 7, '2404247023': 1,
2950.0,'2404247020': -8, '2404247023': 0,'2404247020': 4, '2404247023': 0,'2404247020': 8, '2404247023': 0,
2975.0,'2404247020': 0, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
3000.0,'2404247020': 0, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
3025.0,'2404247020': 0, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
3050.0,'2404247020': -1, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
3075.0,'2404247020': -3, '2404247023': -4,'2404247020': 1, '2404247023': 3,'2404247020': 3, '2404247023': 6,
3100.0,'2404247020': -7, '2404247023': 3,'2404247020': 2, '2404247023': 1,'2404247020': 8, '2404247023': 1,
3125.0,'2404247020': 2, '2404247023': -4,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 4,
3150.0,'2404247020': 1, '2404247023': -3,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 3,
3175.0,'2404247020': -1, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 4,
3200.0,'2404247020': -2, '2404247023': -2,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
3225.0,'2404247020': -2, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 1,
3250.0,'2404247020': -3, '2404247023': 0,'2404247020': 2, '2404247023': 0,'2404247020': 3, '2404247023': 0,
3275.0,'2404247020': -5, '2404247023': 0,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 2,
3300.0,'2404247020': 1, '2404247023': -4,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
3325.0,'2404247020': 1, '2404247023': -3,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
3350.0,'2404247020': 1, '2404247023': -5,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
3375.0,'2404247020': 4, '2404247023': -6,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 6,
3400.0,'2404247020': -1, '2404247023': -4,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 4,
3425.0,'2404247020': 4, '2404247023': -6,'2404247020': 1, '2404247023': 4,'2404247020': 2, '2404247023': 6,
3450.0,'2404247020': 3, '2404247023': -7,'2404247020': 2, '2404247023': 4,'2404247020': 3, '2404247023': 7,
3475.0,'2404247020': -5, '2404247023': 0,'2404247020': 3, '2404247023': 0,'2404247020': 5, '2404247023': 0,
3500.0,'2404247020': 2, '2404247023': -5,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 6,
3525.0,'2404247020': -1, '2404247023': -2,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
3550.0,'2404247020': -3, '2404247023': -4,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
3575.0,'2404247020': -2, '2404247023': -1,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
3600.0,'2404247020': -2, '2404247023': 1,'2404247020': 1, '2404247023': 0,'2404247020': 2, '2404247023': 0,
