2200.0,'2404247020': 3, '2404247023': -12,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 12,
2225.0,'2404247020': 1, '2404247023': -13,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 13,
2250.0,'2404247020': 2, '2404247023': -14,'2404247020': 3, '2404247023': 3,'2404247020': 6, '2404247023': 14,
2275.0,'2404247020': 8, '2404247023': -15,'2404247020': 1, '2404247023': 5,'2404247020': 3, '2404247023': 16,
2300.0,'2404247020': 10, '2404247023': -18,'2404247020': 1, '2404247023': 5,'2404247020': 1, '2404247023': 18,
2325.0,'2404247020': 10, '2404247023': -19,'2404247020': 1, '2404247023': 5,'2404247020': 1, '2404247023': 19,
2350.0,'2404247020': 10, '2404247023': -22,'2404247020': 2, '2404247023': 4,'2404247020': 2, '2404247023': 22,
2375.0,'2404247020': 9, '2404247023': -14,'2404247020': 1, '2404247023': 4,'2404247020': 3, '2404247023': 15,
2400.0,'2404247020': 9, '2404247023': -16,'2404247020': 1, '2404247023': 5,'2404247020': 4, '2404247023': 18,
2425.0,'2404247020': 8, '2404247023': -20,'2404247020': 2, '2404247023': 5,'2404247020': 5, '2404247023': 22,
2450.0,'2404247020': 14, '2404247023': -18,'2404247020': 0, '2404247023': 5,'2404247020': 0, '2404247023': 18,
2475.0,'2404247020': 11, '2404247023': -23,'2404247020': 2, '2404247023': 5,'2404247020': 3, '2404247023': 23,
2500.0,'2404247020': -5, '2404247023': -9,'2404247020': 3, '2404247023': 4,'2404247020': 5, '2404247023': 9,
2525.0,'2404247020': -1, '2404247023': -9,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 9,
2550.0,'2404247020': -3, '2404247023': -9,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 9,
2575.0,'2404247020': 0, '2404247023': -12,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 12,
2600.0,'2404247020': -1, '2404247023': -9,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 9,
2625.0,'2404247020': -3, '2404247023': -7,'2404247020': 3, '2404247023': 3,'2404247020': 7, '2404247023': 8,
2650.0,'2404247020': 2, '2404247023': -9,'2404247020': 3, '2404247023': 4,'2404247020': 4, '2404247023': 9,
2675.0,'2404247020': 2, '2404247023': -12,'2404247020': 3, '2404247023': 4,'2404247020': 4, '2404247023': 12,
2700.0,'2404247020': -5, '2404247023': -6,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 6,
2725.0,'2404247020': -2, '2404247023': -5,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 6,
2750.0,'2404247020': -1, '2404247023': -7,'2404247020': 2, '2404247023': 3,'2404247020': 4, '2404247023': 7,
2775.0,'2404247020': -2, '2404247023': -6,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 6,
2800.0,'2404247020': -2, '2404247023': -6,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 6,
2825.0,'2404247020': -5, '2404247023': -7,'2404247020': 2, '2404247023': 3,'2404247020': 5, '2404247023': 7,
