1825.0,'2404247020': -32.0, '2404247023': -18.0,'2404247020': 1, '2404247023': 1,'2404247020': 4, '2404247023': 2,
1850.0,'2404247020': -42.0, '2404247023': -28.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
1875.0,'2404247020': -13.0, '2404247023': -53.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
1900.0,'2404247020': -58.0, '2404247023': -58.0,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 1,
1925.0,'2404247020': -28.0, '2404247023': -65.0,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 5,
1950.0,'2404247020': -15.0, '2404247023': -57.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
1975.0,'2404247020': -81.0, '2404247023': -75.0,'2404247020': 2, '2404247023': 1,'2404247020': 6, '2404247023': 3,
2000.0,'2404247020': -31.0, '2404247023': -24.0,'2404247020': 3, '2404247023': 1,'2404247020': 3, '2404247023': 2,
2025.0,'2404247020': -39.0, '2404247023': -25.0,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 2,
2050.0,'2404247020': -1.0, '2404247023': -28.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 3,
2075.0,'2404247020': -26.0, '2404247023': -25.0,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 2,
2100.0,'2404247020': -20.0, '2404247023': -39.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
2125.0,'2404247020': -50.0, '2404247023': -37.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 4,
2150.0,'2404247020': -52.0, '2404247023': -8.0,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 1,
2175.0,'2404247020': -51.0, '2404247023': -17.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
2200.0,'2404247020': -9.0, '2404247023': -7.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
2225.0,'2404247020': -52.0, '2404247023': -48.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 4,
2250.0,'2404247020': -4.0, '2404247023': -30.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
2275.0,'2404247020': -19.0, '2404247023': -17.0,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 2,
2300.0,'2404247020': -14.0, '2404247023': -45.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 5,
2325.0,'2404247020': -29.0, '2404247023': -17.0,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 2,
2350.0,'2404247020': -30.0, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 2, '2404247023': 0,
2375.0,'2404247020': -16.0, '2404247023': -14.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
2400.0,'2404247020': -56.0, '2404247023': -28.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 3,
2425.0,'2404247020': -74.0, '2404247023': -26.0,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 3,
