25.0,'2404247020': -9.0, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 1, '2404247023': 0,
1200.0,'2404247020': -121.0, '2404247023': -106.0,'2404247020': 1, '2404247023': 2,'2404247020': 5, '2404247023': 5,
1225.0,'2404247020': -306.0, '2404247023': -76.0,'2404247020': 3, '2404247023': 1,'2404247020': 10, '2404247023': 2,
1250.0,'2404247020': -56.0, '2404247023': -21.0,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 1,
1275.0,'2404247020': -42.0, '2404247023': -21.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 3,
1300.0,'2404247020': -17.0, '2404247023': -77.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
1325.0,'2404247020': -18.0, '2404247023': -83.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
1350.0,'2404247020': -36.0, '2404247023': -143.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
1375.0,'2404247020': 0, '2404247023': -128.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 5,
1400.0,'2404247020': -26.0, '2404247023': -163.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
1425.0,'2404247020': -21.0, '2404247023': -35.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
1450.0,'2404247020': -17.0, '2404247023': -218.0,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 10,
1475.0,'2404247020': -50.0, '2404247023': -297.0,'2404247020': 2, '2404247023': 4,'2404247020': 5, '2404247023': 6,
1500.0,'2404247020': -20.0, '2404247023': -467.0,'2404247020': 1, '2404247023': 3,'2404247020': 2, '2404247023': 8,
1525.0,'2404247020': -85.0, '2404247023': -24.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
1550.0,'2404247020': -48.0, '2404247023': -16.0,'2404247020': 1, '2404247023': 1,'2404247020': 5, '2404247023': 2,
1575.0,'2404247020': -19.0, '2404247023': -108.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 5,
1600.0,'2404247020': -100.0, '2404247023': -61.0,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 1,
1625.0,'2404247020': -21.0, '2404247023': -24.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
1650.0,'2404247020': 0, '2404247023': -38.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 4,
1675.0,'2404247020': -13.0, '2404247023': -141.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 5,
1700.0,'2404247020': -61.0, '2404247023': -54.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 4,
1725.0,'2404247020': 0, '2404247023': -55.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 5,
1750.0,'2404247020': -24.0, '2404247023': -15.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
1775.0,'2404247020': -16.0, '2404247023': -31.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
1800.0,'2404247020': 0, '2404247023': -48.0,'2404247020': 0, '2404247023': 2,'2404247020': 0, '2404247023': 4,
1825.0,'2404247020': -37.0, '2404247023': -40.0,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 3,
1850.0,'2404247020': -20.0, '2404247023': -42.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 3,
1875.0,'2404247020': 0, '2404247023': -38.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 2,
1900.0,'2404247020': -41.0, '2404247023': -92.0,'2404247020': 3, '2404247023': 1,'2404247020': 4, '2404247023': 3,
1925.0,'2404247020': -14.0, '2404247023': -180.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
1950.0,'2404247020': -37.0, '2404247023': -141.0,'2404247020': 3, '2404247023': 2,'2404247020': 4, '2404247023': 4,
1975.0,'2404247020': -72.0, '2404247023': -13.0,'2404247020': 2, '2404247023': 1,'2404247020': 6, '2404247023': 1,
2000.0,'2404247020': -245.0, '2404247023': -18.0,'2404247020': 2, '2404247023': 1,'2404247020': 8, '2404247023': 1,
2025.0,'2404247020': -36.0, '2404247023': -27.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
2050.0,'2404247020': -46.0, '2404247023': -19.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
2075.0,'2404247020': -3.0, '2404247023': -28.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
2100.0,'2404247020': -14.0, '2404247023': -26.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
2125.0,'2404247020': -10.0, '2404247023': -22.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
2150.0,'2404247020': -66.0, '2404247023': -21.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
2175.0,'2404247020': -51.0, '2404247023': -18.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
2200.0,'2404247020': -7.0, '2404247023': -25.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 2,
2225.0,'2404247020': -98.0, '2404247023': -10.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 2,
2250.0,'2404247020': -198.0, '2404247023': -63.0,'2404247020': 2, '2404247023': 2,'2404247020': 4, '2404247023': 5,
2275.0,'2404247020': -313.0, '2404247023': -74.0,'2404247020': 3, '2404247023': 2,'2404247020': 5, '2404247023': 3,
2300.0,'2404247020': -18.0, '2404247023': -168.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 5,
2325.0,'2404247020': -96.0, '2404247023': -16.0,'2404247020': 2, '2404247023': 1,'2404247020': 5, '2404247023': 2,
2350.0,'2404247020': -27.0, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 2, '2404247023': 0,
2375.0,'2404247020': -17.0, '2404247023': -51.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 4,
2400.0,'2404247020': -85.0, '2404247023': -165.0,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 6,
2425.0,'2404247020': -13.0, '2404247023': -23.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 3,
2450.0,'2404247020': -64.0, '2404247023': -23.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 3,
2475.0,'2404247020': -52.0, '2404247023': -29.0,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 2,
2500.0,'2404247020': -25.0, '2404247023': -45.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
2525.0,'2404247020': -18.0, '2404247023': -54.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
2550.0,'2404247020': -23.0, '2404247023': -95.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 4,
2575.0,'2404247020': -73.0, '2404247023': -87.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
2600.0,'2404247020': -19.0, '2404247023': -73.0,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 2,
2625.0,'2404247020': -55.0, '2404247023': -130.0,'2404247020': 2, '2404247023': 3,'2404247020': 3, '2404247023': 6,
2650.0,'2404247020': -25.0, '2404247023': -239.0,'2404247020': 2, '2404247023': 4,'2404247020': 2, '2404247023': 7,
2675.0,'2404247020': -24.0, '2404247023': -138.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
2700.0,'2404247020': -77.0, '2404247023': -1.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 1,
2725.0,'2404247020': -5.0, '2404247023': -64.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 4,
2750.0,'2404247020': -26.0, '2404247023': -22.0,'2404247020': 2, '2404247023': 2,'2404247020': 2, '2404247023': 4,
2775.0,'2404247020': -17.0, '2404247023': -70.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
2800.0,'2404247020': -52.0, '2404247023': -170.0,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 6,
2825.0,'2404247020': -94.0, '2404247023': -95.0,'2404247020': 3, '2404247023': 1,'2404247020': 6, '2404247023': 2,
2850.0,'2404247020': -14.0, '2404247023': -165.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 6,
2875.0,'2404247020': -2.0, '2404247023': -177.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 7,
2900.0,'2404247020': -16.0, '2404247023': -340.0,'2404247020': 1, '2404247023': 2,'2404247020': 2, '2404247023': 7,
2925.0,'2404247020': -18.0, '2404247023': -5.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
2950.0,'2404247020': -13.0, '2404247023': -102.0,'2404247020': 1, '2404247023': 3,'2404247020': 1, '2404247023': 5,
2975.0,'2404247020': -63.0, '2404247023': -21.0,'2404247020': 1, '2404247023': 1,'2404247020': 3, '2404247023': 2,
3000.0,'2404247020': -21.0, '2404247023': -76.0,'2404247020': 2, '2404247023': 1,'2404247020': 2, '2404247023': 3,
3025.0,'2404247020': -24.0, '2404247023': -18.0,'2404247020': 1, '2404247023': 2,'2404247020': 3, '2404247023': 2,
3050.0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,'2404247020': 0, '2404247023': 0,
3075.0,'2404247020': -7.0, '2404247023': -41.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 3,
3100.0,'2404247020': -20.0, '2404247023': -21.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
3125.0,'2404247020': -9.0, '2404247023': 0,'2404247020': 1, '2404247023': 0,'2404247020': 2, '2404247023': 0,
3150.0,'2404247020': 0, '2404247023': -68.0,'2404247020': 0, '2404247023': 1,'2404247020': 0, '2404247023': 5,
3175.0,'2404247020': -18.0, '2404247023': -16.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 1,
3200.0,'2404247020': -23.0, '2404247023': -12.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 1,
3225.0,'2404247020': -7.0, '2404247023': -14.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
3250.0,'2404247020': -10.0, '2404247023': -43.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 2,
3275.0,'2404247020': -30.0, '2404247023': -20.0,'2404247020': 2, '2404247023': 1,'2404247020': 3, '2404247023': 2,
3300.0,'2404247020': -2.0, '2404247023': -19.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
3325.0,'2404247020': -4.0, '2404247023': -46.0,'2404247020': 1, '2404247023': 2,'2404247020': 1, '2404247023': 4,
3350.0,'2404247020': -25.0, '2404247023': -56.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 4,
3375.0,'2404247020': -128.0, '2404247023': -126.0,'2404247020': 3, '2404247023': 3,'2404247020': 5, '2404247023': 6,
3400.0,'2404247020': -5.0, '2404247023': -51.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
3425.0,'2404247020': -38.0, '2404247023': -29.0,'2404247020': 3, '2404247023': 1,'2404247020': 3, '2404247023': 2,
3450.0,'2404247020': -15.0, '2404247023': -24.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 2,
3475.0,'2404247020': -49.0, '2404247023': -17.0,'2404247020': 2, '2404247023': 1,'2404247020': 4, '2404247023': 1,
3500.0,'2404247020': -174.0, '2404247023': -36.0,'2404247020': 3, '2404247023': 1,'2404247020': 5, '2404247023': 3,
3525.0,'2404247020': -19.0, '2404247023': -27.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
3550.0,'2404247020': -1.0, '2404247023': -72.0,'2404247020': 1, '2404247023': 1,'2404247020': 1, '2404247023': 3,
3575.0,'2404247020': -58.0, '2404247023': -33.0,'2404247020': 2, '2404247023': 2,'2404247020': 3, '2404247023': 3,
3600.0,'2404247020': -31.0, '2404247023': -31.0,'2404247020': 1, '2404247023': 1,'2404247020': 2, '2404247023': 2,
