1800.0,'2404247020': -3.8169644, '2404247023': -4.0,'2404247020': 2, '2404247023': 6,'2404247020': 5, '2404247023': 22,
1825.0,'2404247020': -1.15625, '2404247023': -4.0,'2404247020': 3, '2404247023': 7,'2404247020': 6, '2404247023': 18,
1850.0,'2404247020': -1.9821428, '2404247023': -4.0,'2404247020': 3, '2404247023': 7,'2404247020': 9, '2404247023': 18,
1875.0,'2404247020': -2.986607, '2404247023': -4.0,'2404247020': 3, '2404247023': 8,'2404247020': 9, '2404247023': 19,
1900.0,'2404247020': -2.482143, '2404247023': -4.0,'2404247020': 3, '2404247023': 8,'2404247020': 7, '2404247023': 19,
1925.0,'2404247020': -3.0669644, '2404247023': -4.0,'2404247020': 3, '2404247023': 10,'2404247020': 7, '2404247023': 23,
1950.0,'2404247020': -3.9017856, '2404247023': -4.0,'2404247020': 3, '2404247023': 10,'2404247020': 10, '2404247023': 23,
1975.0,'2404247020': -3.96875, '2404247023': -4.0,'2404247020': 3, '2404247023': 10,'2404247020': 8, '2404247023': 25,
2000.0,'2404247020': -1.5669643, '2404247023': -4.0,'2404247020': 5, '2404247023': 12,'2404247020': 9, '2404247023': 29,
2025.0,'2404247020': -0.6160714, '2404247023': -4.0,'2404247020': 3, '2404247023': 12,'2404247020': 7, '2404247023': 33,
2050.0,'2404247020': -0.84821427, '2404247023': -4.0,'2404247020': 3, '2404247023': 13,'2404247020': 8, '2404247023': 35,
2075.0,'2404247020': -1.8169643, '2404247023': -4.0,'2404247020': 5, '2404247023': 14,'2404247020': 10, '2404247023': 32,
2100.0,'2404247020': -3.0357144, '2404247023': -4.0,'2404247020': 6, '2404247023': 14,'2404247020': 13, '2404247023': 33,
2125.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 8, '2404247023': 15,'2404247020': 16, '2404247023': 29,
2150.0,'2404247020': -2.3973215, '2404247023': -4.0,'2404247020': 3, '2404247023': 15,'2404247020': 8, '2404247023': 31,
2175.0,'2404247020': -3.0267856, '2404247023': -4.0,'2404247020': 6, '2404247023': 16,'2404247020': 11, '2404247023': 34,
2200.0,'2404247020': -1.5357143, '2404247023': -4.0,'2404247020': 7, '2404247023': 16,'2404247020': 8, '2404247023': 33,
2225.0,'2404247020': -2.9732144, '2404247023': -4.0,'2404247020': 7, '2404247023': 17,'2404247020': 16, '2404247023': 40,
2250.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 7, '2404247023': 14,'2404247020': 22, '2404247023': 36,
2275.0,'2404247020': -1.0803572, '2404247023': -4.0,'2404247020': 3, '2404247023': 14,'2404247020': 9, '2404247023': 31,
2300.0,'2404247020': -1.4151785, '2404247023': -4.0,'2404247020': 3, '2404247023': 14,'2404247020': 7, '2404247023': 34,
2325.0,'2404247020': -2.1964285, '2404247023': -4.0,'2404247020': 3, '2404247023': 14,'2404247020': 7, '2404247023': 34,
2350.0,'2404247020': -3.0580356, '2404247023': -4.0,'2404247020': 3, '2404247023': 15,'2404247020': 8, '2404247023': 36,
2375.0,'2404247020': -3.9776785, '2404247023': -4.0,'2404247020': 3, '2404247023': 15,'2404247020': 9, '2404247023': 38,
2400.0,'2404247020': -0.88839287, '2404247023': -4.0,'2404247020': 1, '2404247023': 16,'2404247020': 3, '2404247023': 39,
2425.0,'2404247020': -0.10714286, '2404247023': -4.0,'2404247020': 2, '2404247023': 15,'2404247020': 2, '2404247023': 33,
2450.0,'2404247020': -0.33035713, '2404247023': -4.0,'2404247020': 2, '2404247023': 15,'2404247020': 2, '2404247023': 33,
2475.0,'2404247020': -0.5535714, '2404247023': -4.0,'2404247020': 2, '2404247023': 16,'2404247020': 2, '2404247023': 36,
2500.0,'2404247020': -0.77678573, '2404247023': -4.0,'2404247020': 2, '2404247023': 17,'2404247020': 2, '2404247023': 37,
2525.0,'2404247020': -1.09375, '2404247023': -4.0,'2404247020': 2, '2404247023': 17,'2404247020': 3, '2404247023': 41,
2550.0,'2404247020': -0.08035714, '2404247023': -4.0,'2404247020': 1, '2404247023': 16,'2404247020': 1, '2404247023': 37,
2575.0,'2404247020': -0.25, '2404247023': -4.0,'2404247020': 2, '2404247023': 12,'2404247020': 3, '2404247023': 31,
2600.0,'2404247020': -0.1875, '2404247023': -4.0,'2404247020': 2, '2404247023': 14,'2404247020': 3, '2404247023': 33,
2625.0,'2404247020': -0.10714286, '2404247023': -4.0,'2404247020': 1, '2404247023': 11,'2404247020': 2, '2404247023': 24,
2650.0,'2404247020': -0.1875, '2404247023': -4.0,'2404247020': 2, '2404247023': 10,'2404247020': 3, '2404247023': 19,
2675.0,'2404247020': -0.53571427, '2404247023': -4.0,'2404247020': 2, '2404247023': 10,'2404247020': 4, '2404247023': 25,
2700.0,'2404247020': -1.2946428, '2404247023': -4.0,'2404247020': 4, '2404247023': 10,'2404247020': 8, '2404247023': 25,
2725.0,'2404247020': -2.2544644, '2404247023': -4.0,'2404247020': 4, '2404247023': 11,'2404247020': 10, '2404247023': 27,
2750.0,'2404247020': -3.53125, '2404247023': -4.0,'2404247020': 7, '2404247023': 11,'2404247020': 13, '2404247023': 28,
2775.0,'2404247020': -3.861607, '2404247023': -4.0,'2404247020': 8, '2404247023': 9,'2404247020': 12, '2404247023': 24,
2800.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 8, '2404247023': 10,'2404247020': 15, '2404247023': 24,
2825.0,'2404247020': -2.3794644, '2404247023': -4.0,'2404247020': 3, '2404247023': 11,'2404247020': 5, '2404247023': 28,
2850.0,'2404247020': -3.267857, '2404247023': -4.0,'2404247020': 3, '2404247023': 12,'2404247020': 9, '2404247023': 30,
2875.0,'2404247020': -3.9598215, '2404247023': -4.0,'2404247020': 3, '2404247023': 12,'2404247020': 8, '2404247023': 31,
2900.0,'2404247020': -3.3169644, '2404247023': -4.0,'2404247020': 3, '2404247023': 13,'2404247020': 5, '2404247023': 34,
2925.0,'2404247020': -0.75, '2404247023': -4.0,'2404247020': 5, '2404247023': 13,'2404247020': 6, '2404247023': 30,
2950.0,'2404247020': -0.8348214, '2404247023': -4.0,'2404247020': 3, '2404247023': 12,'2404247020': 7, '2404247023': 29,
2975.0,'2404247020': -1.8973215, '2404247023': -4.0,'2404247020': 4, '2404247023': 12,'2404247020': 10, '2404247023': 30,
3000.0,'2404247020': -2.169643, '2404247023': -4.0,'2404247020': 3, '2404247023': 12,'2404247020': 8, '2404247023': 26,
