2225.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 20, '2404247023': 8,'2404247020': 29, '2404247023': 20,
2250.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 20, '2404247023': 6,'2404247020': 36, '2404247023': 19,
2275.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 20, '2404247023': 6,'2404247020': 38, '2404247023': 17,
2300.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 21, '2404247023': 6,'2404247020': 37, '2404247023': 18,
2325.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 21, '2404247023': 7,'2404247020': 37, '2404247023': 17,
2350.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 21, '2404247023': 7,'2404247020': 39, '2404247023': 15,
2375.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 21, '2404247023': 5,'2404247020': 43, '2404247023': 15,
2400.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 21, '2404247023': 6,'2404247020': 46, '2404247023': 20,
2425.0,'2404247020': -4.0, '2404247023': -1.6473215,'2404247020': 21, '2404247023': 3,'2404247020': 50, '2404247023': 10,
2450.0,'2404247020': -4.0, '2404247023': -1.4464285,'2404247020': 18, '2404247023': 3,'2404247020': 37, '2404247023': 10,
2475.0,'2404247020': -4.0, '2404247023': -1.8571428,'2404247020': 18, '2404247023': 3,'2404247020': 35, '2404247023': 10,
2500.0,'2404247020': -4.0, '2404247023': -2.9732144,'2404247020': 14, '2404247023': 2,'2404247020': 31, '2404247023': 10,
2525.0,'2404247020': -4.0, '2404247023': -2.1919644,'2404247020': 15, '2404247023': 2,'2404247020': 32, '2404247023': 6,
2550.0,'2404247020': -4.0, '2404247023': -2.65625,'2404247020': 15, '2404247023': 2,'2404247020': 33, '2404247023': 5,
2575.0,'2404247020': -4.0, '2404247023': -2.9107144,'2404247020': 16, '2404247023': 2,'2404247020': 35, '2404247023': 5,
2600.0,'2404247020': -4.0, '2404247023': -0.20089285,'2404247020': 16, '2404247023': 1,'2404247020': 36, '2404247023': 3,
2625.0,'2404247020': -4.0, '2404247023': -0.52678573,'2404247020': 13, '2404247023': 2,'2404247020': 25, '2404247023': 6,
2650.0,'2404247020': -4.0, '2404247023': -1.1383928,'2404247020': 10, '2404247023': 2,'2404247020': 17, '2404247023': 9,
2675.0,'2404247020': -4.0, '2404247023': -1.6339285,'2404247020': 9, '2404247023': 2,'2404247020': 18, '2404247023': 10,
2700.0,'2404247020': -4.0, '2404247023': -1.4196428,'2404247020': 10, '2404247023': 2,'2404247020': 22, '2404247023': 7,
2725.0,'2404247020': -4.0, '2404247023': -2.013393,'2404247020': 10, '2404247023': 3,'2404247020': 27, '2404247023': 10,
2750.0,'2404247020': -4.0, '2404247023': -0.39285713,'2404247020': 12, '2404247023': 3,'2404247020': 32, '2404247023': 6,
2775.0,'2404247020': -4.0, '2404247023': -0.35714287,'2404247020': 7, '2404247023': 2,'2404247020': 14, '2404247023': 3,
2800.0,'2404247020': -3.8080356, '2404247023': -0.83035713,'2404247020': 3, '2404247023': 2,'2404247020': 8, '2404247023': 5,
2825.0,'2404247020': -4.0, '2404247023': -1.5044643,'2404247020': 3, '2404247023': 2,'2404247020': 9, '2404247023': 7,
2850.0,'2404247020': -4.0, '2404247023': -1.7098215,'2404247020': 4, '2404247023': 2,'2404247020': 11, '2404247023': 6,
2875.0,'2404247020': -4.0, '2404247023': -2.4464285,'2404247020': 4, '2404247023': 2,'2404247020': 11, '2404247023': 7,
2900.0,'2404247020': -4.0, '2404247023': -3.299107,'2404247020': 5, '2404247023': 2,'2404247020': 14, '2404247023': 8,
2925.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 8, '2404247023': 3,'2404247020': 18, '2404247023': 9,
2950.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 9, '2404247023': 3,'2404247020': 19, '2404247023': 9,
2975.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 10, '2404247023': 3,'2404247020': 20, '2404247023': 10,
3000.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 12, '2404247023': 3,'2404247020': 22, '2404247023': 11,
3025.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 14, '2404247023': 4,'2404247020': 25, '2404247023': 12,
3050.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 17, '2404247023': 4,'2404247020': 29, '2404247023': 12,
3075.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 17, '2404247023': 4,'2404247020': 29, '2404247023': 15,
3100.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 18, '2404247023': 4,'2404247020': 31, '2404247023': 15,
3125.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 5,'2404247020': 35, '2404247023': 18,
3150.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 6,'2404247020': 36, '2404247023': 20,
3175.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 6,'2404247020': 38, '2404247023': 21,
3200.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 6,'2404247020': 40, '2404247023': 22,
3225.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 7,'2404247020': 41, '2404247023': 24,
3250.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 7,'2404247020': 45, '2404247023': 25,
3275.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 8,'2404247020': 48, '2404247023': 26,
3300.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 8,'2404247020': 50, '2404247023': 28,
3325.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 11,'2404247020': 50, '2404247023': 33,
3350.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 11,'2404247020': 51, '2404247023': 34,
3375.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 13,'2404247020': 51, '2404247023': 38,
3400.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 14,'2404247020': 52, '2404247023': 39,
3425.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 14,'2404247020': 55, '2404247023': 41,
3450.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 15,'2404247020': 56, '2404247023': 42,
3475.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 15,'2404247020': 56, '2404247023': 42,
3500.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 15,'2404247020': 56, '2404247023': 44,
3525.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 56, '2404247023': 49,
3550.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 56, '2404247023': 49,
3575.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 56, '2404247023': 51,
3600.0,'2404247020': -4.0, '2404247023': -4.0,'2404247020': 22, '2404247023': 17,'2404247020': 56, '2404247023': 51,
