25.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1, 'cluster_254337786_31404743': 0, 'cluster_537912_578689': 0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 0, 'cluster_537912_578689': 0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 0, 'cluster_537912_578689': 0,
675.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -8, 'cluster_254337786_31404743': -6, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 16, 'cluster_254337786_31404743': 9, 'cluster_537912_578689': 7,
700.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': -9, 'cluster_537912_578689': -8,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 12, 'cluster_537912_578689': 8,
725.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': -13, 'cluster_537912_578689': -18,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 10, 'cluster_254337786_31404743': 17, 'cluster_537912_578689': 18,
750.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': -8, 'cluster_537912_578689': -16,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 11, 'cluster_254337786_31404743': 14, 'cluster_537912_578689': 17,
775.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -9, 'cluster_254337786_31404743': -3, 'cluster_537912_578689': -8,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 9, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 10, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 9,
800.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -7, 'cluster_254337786_31404743': 0, 'cluster_537912_578689': -2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 16, 'cluster_254337786_31404743': 9, 'cluster_537912_578689': 8,
825.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': -10, 'cluster_537912_578689': -5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 15, 'cluster_537912_578689': 7,
850.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -5, 'cluster_254337786_31404743': -3, 'cluster_537912_578689': -5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 11, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 7,
875.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': -4, 'cluster_537912_578689': -8,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 9,
900.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -2, 'cluster_254337786_31404743': -11, 'cluster_537912_578689': -5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 5,
925.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -2, 'cluster_254337786_31404743': -10, 'cluster_537912_578689': -8,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 11, 'cluster_254337786_31404743': 14, 'cluster_537912_578689': 8,
950.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 0, 'cluster_254337786_31404743': -13, 'cluster_537912_578689': -10,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 7,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 13, 'cluster_537912_578689': 10,
975.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 8, 'cluster_254337786_31404743': -14, 'cluster_537912_578689': -6,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 15, 'cluster_537912_578689': 10,
1000.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -7, 'cluster_254337786_31404743': -5, 'cluster_537912_578689': -2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 20, 'cluster_254337786_31404743': 9, 'cluster_537912_578689': 13,
1025.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -14, 'cluster_254337786_31404743': -4, 'cluster_537912_578689': 0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 23, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 12,
1050.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -14, 'cluster_254337786_31404743': -2, 'cluster_537912_578689': -3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 22, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 15,
1075.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -20, 'cluster_254337786_31404743': -7, 'cluster_537912_578689': 8,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 24, 'cluster_254337786_31404743': 16, 'cluster_537912_578689': 6,
1100.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -28, 'cluster_254337786_31404743': -3, 'cluster_537912_578689': 10,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 6,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 29, 'cluster_254337786_31404743': 13, 'cluster_537912_578689': 8,
1125.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -35, 'cluster_254337786_31404743': 0, 'cluster_537912_578689': 7,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 9, 'cluster_537912_578689': 7,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 35, 'cluster_254337786_31404743': 15, 'cluster_537912_578689': 11,
1150.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -8, 'cluster_254337786_31404743': -13, 'cluster_537912_578689': -12,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 9, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 10, 'cluster_254337786_31404743': 17, 'cluster_537912_578689': 14,
1175.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': -11, 'cluster_537912_578689': -7,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 11, 'cluster_254337786_31404743': 15, 'cluster_537912_578689': 11,
1200.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 8, 'cluster_254337786_31404743': -13, 'cluster_537912_578689': -13,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 14, 'cluster_254337786_31404743': 17, 'cluster_537912_578689': 17,
1225.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -12, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': -4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 21, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 9,
1250.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -12, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': -10,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 23, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 15,
1275.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -17, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': -9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': 6,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 24, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 14,
1300.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -5, 'cluster_254337786_31404743': -4, 'cluster_537912_578689': -17,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 15, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 17,
1325.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -9, 'cluster_254337786_31404743': -9, 'cluster_537912_578689': -19,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 8, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 18, 'cluster_254337786_31404743': 9, 'cluster_537912_578689': 19,
1350.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -1, 'cluster_254337786_31404743': -8, 'cluster_537912_578689': -21,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 8, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 8,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 10, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 22,
1375.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -9, 'cluster_254337786_31404743': -11, 'cluster_537912_578689': -12,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 8, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 12, 'cluster_254337786_31404743': 11, 'cluster_537912_578689': 15,
1400.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -7, 'cluster_254337786_31404743': -10, 'cluster_537912_578689': 2,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 12, 'cluster_254337786_31404743': 13, 'cluster_537912_578689': 7,
1425.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': -9, 'cluster_537912_578689': -9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 10, 'cluster_537912_578689': 12,
1450.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': -10, 'cluster_537912_578689': -10,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 12, 'cluster_537912_578689': 12,
1475.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -2, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': -11,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 12, 'cluster_254337786_31404743': 5, 'cluster_537912_578689': 13,
1500.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 11, 'cluster_254337786_31404743': -5, 'cluster_537912_578689': -17,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 8, 'cluster_537912_578689': 17,
1525.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': 2, 'cluster_537912_578689': -26,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 14, 'cluster_254337786_31404743': 7, 'cluster_537912_578689': 28,
1550.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 0, 'cluster_254337786_31404743': -8, 'cluster_537912_578689': -10,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 3, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 11, 'cluster_254337786_31404743': 12, 'cluster_537912_578689': 11,
1575.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': -16, 'cluster_537912_578689': -9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 17, 'cluster_537912_578689': 13,
1600.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': -19, 'cluster_537912_578689': -14,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 4, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 19, 'cluster_537912_578689': 14,
1625.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': -20, 'cluster_537912_578689': -11,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 6, 'cluster_537912_578689': 5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': 22, 'cluster_537912_578689': 12,
1650.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 5, 'cluster_254337786_31404743': -20, 'cluster_537912_578689': -5,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 2, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 3,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 22, 'cluster_537912_578689': 10,
1675.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 11, 'cluster_254337786_31404743': -24, 'cluster_537912_578689': -10,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 1, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 25, 'cluster_537912_578689': 10,
1700.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 7, 'cluster_254337786_31404743': -24, 'cluster_537912_578689': -9,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 9, 'cluster_254337786_31404743': 29, 'cluster_537912_578689': 13,
1725.0,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': -2, 'cluster_254337786_31404743': -13, 'cluster_537912_578689': -8,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 3, 'cluster_254337786_31404743': 4, 'cluster_537912_578689': 4,'GS_cluster_14485274_151021003_2335517648_254337785_#1more': 6, 'cluster_254337786_31404743': 14, 'cluster_537912_578689': 9,
